lexit	year	opm
regard	2021	42.726
regard	2022	38.358
regard	2023	33.492
regard	2024	28.052
clearly	1975	91.852
clearly	1976	95.772
clearly	1977	96.380
clearly	1978	94.142
clearly	1979	97.305
clearly	1980	89.152
clearly	1981	99.457
clearly	1982	96.113
clearly	1983	98.773
clearly	1984	94.516
clearly	1985	94.370
clearly	1986	95.210
clearly	1987	93.993
clearly	1988	97.642
clearly	1989	94.602
clearly	1990	92.013
clearly	1991	92.745
clearly	1992	89.928
clearly	1993	88.201
clearly	1994	87.514
clearly	1995	93.829
clearly	1996	90.709
clearly	1997	88.545
clearly	1998	86.452
clearly	1999	88.467
clearly	2000	88.278
clearly	2001	88.233
clearly	2002	86.351
clearly	2003	85.574
clearly	2004	84.827
clearly	2005	81.009
clearly	2006	81.792
clearly	2007	76.629
clearly	2008	76.346
clearly	2009	72.917
clearly	2010	74.206
clearly	2011	69.503
clearly	2012	67.792
clearly	2013	65.310
clearly	2014	63.361
clearly	2015	59.883
clearly	2016	59.229
clearly	2017	55.969
clearly	2018	53.018
clearly	2019	51.264
clearly	2020	46.419
clearly	2021	41.426
clearly	2022	38.588
clearly	2023	32.800
clearly	2024	29.681
fringe	1975	2.820
fringe	1976	2.819
fringe	1977	1.602
fringe	1978	3.861
fringe	1979	4.206
fringe	1980	2.515
fringe	1981	2.795
fringe	1982	2.874
fringe	1983	1.345
fringe	1984	0.744
fringe	1985	1.740
fringe	1986	0.733
fringe	1987	1.833
fringe	1988	2.035
fringe	1989	2.331
fringe	1990	1.551
fringe	1991	1.982
fringe	1992	2.471
fringe	1993	2.245
fringe	1994	2.210
fringe	1995	1.346
fringe	1996	1.867
fringe	1997	2.364
fringe	1998	2.813
fringe	1999	2.373
fringe	2000	2.698
fringe	2001	2.299
fringe	2002	2.423
fringe	2003	2.469
fringe	2004	2.202
fringe	2005	2.541
fringe	2006	2.465
fringe	2007	1.853
fringe	2008	1.996
fringe	2009	2.591
fringe	2010	2.043
fringe	2011	2.226
fringe	2012	2.414
fringe	2013	1.877
fringe	2014	1.919
fringe	2015	1.601
fringe	2016	2.092
fringe	2017	2.051
fringe	2018	1.919
fringe	2019	1.929
fringe	2020	1.693
fringe	2021	1.648
fringe	2022	1.851
fringe	2023	1.548
fringe	2024	1.002
inconvenience	1975	1.773
inconvenience	1976	1.187
inconvenience	1977	1.522
inconvenience	1978	1.545
inconvenience	1979	1.472
inconvenience	1980	1.320
inconvenience	1981	1.630
inconvenience	1982	1.490
inconvenience	1983	0.998
inconvenience	1984	1.213
inconvenience	1985	1.148
inconvenience	1986	1.047
inconvenience	1987	1.473
inconvenience	1988	1.110
inconvenience	1989	1.002
inconvenience	1990	0.859
inconvenience	1991	1.291
inconvenience	1992	1.159
inconvenience	1993	1.049
inconvenience	1994	0.987
inconvenience	1995	1.084
inconvenience	1996	0.977
inconvenience	1997	1.291
inconvenience	1998	1.296
inconvenience	1999	0.958
inconvenience	2000	1.300
inconvenience	2001	1.170
inconvenience	2002	1.070
inconvenience	2003	1.046
inconvenience	2004	1.061
inconvenience	2005	1.102
inconvenience	2006	2.089
inconvenience	2007	1.815
inconvenience	2008	1.690
inconvenience	2009	2.815
inconvenience	2010	2.274
inconvenience	2011	2.084
inconvenience	2012	2.011
inconvenience	2013	1.638
inconvenience	2014	1.796
inconvenience	2015	1.568
inconvenience	2016	1.605
inconvenience	2017	1.487
inconvenience	2018	1.859
inconvenience	2019	1.875
inconvenience	2020	2.755
inconvenience	2021	2.121
inconvenience	2022	1.899
inconvenience	2023	1.482
inconvenience	2024	1.447
offender	1975	0.564
offender	1976	0.964
offender	1977	0.721
offender	1978	0.850
offender	1979	0.701
offender	1980	0.503
offender	1981	0.641
offender	1982	0.692
offender	1983	1.606
offender	1984	0.509
offender	1985	0.259
offender	1986	0.419
offender	1987	0.524
offender	1988	0.617
offender	1989	0.526
offender	1990	0.644
offender	1991	0.784
offender	1992	0.744
offender	1993	0.420
offender	1994	0.572
offender	1995	0.636
offender	1996	0.593
offender	1997	0.319
offender	1998	0.490
offender	1999	0.822
offender	2000	0.937
offender	2001	0.955
offender	2002	1.315
offender	2003	1.411
offender	2004	1.366
offender	2005	0.766
offender	2006	1.168
offender	2007	1.263
offender	2008	0.963
offender	2009	0.993
offender	2010	1.017
offender	2011	0.981
offender	2012	1.140
offender	2013	1.094
offender	2014	1.075
offender	2015	1.040
offender	2016	0.894
offender	2017	1.143
offender	2018	1.045
offender	2019	1.018
offender	2020	0.733
offender	2021	1.030
offender	2022	0.772
offender	2023	0.562
offender	2024	0.406
declare	1975	0.081
declare	1976	0.148
declare	1977	0.240
declare	1978	0.154
declare	1979	0.210
declare	1980	0.189
declare	1981	0.291
declare	1982	0.053
declare	1983	0.130
declare	1984	0.235
declare	1985	0.111
declare	1986	0.105
declare	1987	0.164
declare	1988	0.401
declare	1989	0.276
declare	1990	0.048
declare	1991	0.207
declare	1992	0.197
declare	1993	0.273
declare	1994	0.237
declare	1995	0.262
declare	1996	0.314
declare	1997	0.251
declare	1998	0.300
declare	1999	0.304
declare	2000	0.266
declare	2001	0.229
declare	2002	0.387
declare	2003	0.438
declare	2004	0.373
declare	2005	0.388
declare	2006	0.376
declare	2007	0.449
declare	2008	0.341
declare	2009	0.381
declare	2010	0.671
declare	2011	0.448
declare	2012	0.749
declare	2013	0.962
declare	2014	1.311
declare	2015	1.078
declare	2016	1.715
declare	2017	1.402
declare	2018	1.799
declare	2019	1.929
declare	2020	2.124
declare	2021	2.168
declare	2022	1.893
declare	2023	1.590
declare	2024	1.603
formalism	1975	1.370
formalism	1976	1.113
formalism	1977	1.122
formalism	1978	1.236
formalism	1979	1.122
formalism	1980	1.257
formalism	1981	1.223
formalism	1982	1.064
formalism	1983	0.564
formalism	1984	0.548
formalism	1985	1.037
formalism	1986	1.117
formalism	1987	1.833
formalism	1988	1.572
formalism	1989	1.203
formalism	1990	1.217
formalism	1991	1.406
formalism	1992	1.684
formalism	1993	1.846
formalism	1994	1.855
formalism	1995	1.589
formalism	1996	1.675
formalism	1997	1.961
formalism	1998	1.849
formalism	1999	2.556
formalism	2000	4.027
formalism	2001	3.872
formalism	2002	3.274
formalism	2003	3.126
formalism	2004	4.911
formalism	2005	4.756
formalism	2006	4.840
formalism	2007	4.210
formalism	2008	4.290
formalism	2009	4.868
formalism	2010	4.193
formalism	2011	4.331
formalism	2012	4.214
formalism	2013	3.849
formalism	2014	4.024
formalism	2015	3.898
formalism	2016	3.431
formalism	2017	3.288
formalism	2018	3.078
formalism	2019	3.178
formalism	2020	3.331
formalism	2021	2.609
formalism	2022	2.314
formalism	2023	2.196
formalism	2024	1.674
officially	1975	0.886
officially	1976	0.890
officially	1977	0.160
officially	1978	0.850
officially	1979	0.421
officially	1980	0.566
officially	1981	0.408
officially	1982	0.532
officially	1983	0.651
officially	1984	0.626
officially	1985	0.555
officially	1986	0.908
officially	1987	0.458
officially	1988	0.647
officially	1989	0.526
officially	1990	0.883
officially	1991	0.807
officially	1992	0.678
officially	1993	0.902
officially	1994	0.849
officially	1995	1.122
officially	1996	0.872
officially	1997	0.721
officially	1998	0.806
officially	1999	0.776
officially	2000	1.091
officially	2001	0.981
officially	2002	1.340
officially	2003	1.155
officially	2004	1.027
officially	2005	1.155
officially	2006	1.168
officially	2007	1.310
officially	2008	1.234
officially	2009	1.043
officially	2010	1.249
officially	2011	1.088
officially	2012	1.063
officially	2013	1.070
officially	2014	1.250
officially	2015	1.339
officially	2016	1.245
officially	2017	1.157
officially	2018	1.091
officially	2019	1.169
officially	2020	2.120
officially	2021	1.658
officially	2022	1.369
officially	2023	1.163
officially	2024	1.142
fight	1975	1.611
fight	1976	0.890
fight	1977	0.961
fight	1978	0.927
fight	1979	1.402
fight	1980	0.880
fight	1981	1.339
fight	1982	0.745
fight	1983	1.302
fight	1984	1.057
fight	1985	1.074
fight	1986	1.117
fight	1987	0.786
fight	1988	0.925
fight	1989	1.604
fight	1990	1.313
fight	1991	1.452
fight	1992	1.312
fight	1993	1.846
fight	1994	1.658
fight	1995	1.757
fight	1996	1.221
fight	1997	1.777
fight	1998	1.944
fight	1999	1.871
fight	2000	2.391
fight	2001	2.474
fight	2002	2.668
fight	2003	3.381
fight	2004	3.139
fight	2005	3.181
fight	2006	3.108
fight	2007	3.490
fight	2008	3.397
fight	2009	3.750
fight	2010	3.923
fight	2011	4.366
fight	2012	3.907
fight	2013	3.801
fight	2014	4.441
fight	2015	4.639
fight	2016	5.135
fight	2017	5.229
fight	2018	5.236
fight	2019	5.222
fight	2020	9.224
fight	2021	10.223
fight	2022	9.144
fight	2023	7.785
fight	2024	6.485
respect	1975	159.775
respect	1976	157.271
respect	1977	148.376
respect	1978	147.044
respect	1979	146.799
respect	1980	151.457
respect	1981	145.866
respect	1982	147.522
respect	1983	144.037
respect	1984	138.114
respect	1985	132.170
respect	1986	130.787
respect	1987	130.399
respect	1988	126.839
respect	1989	123.671
respect	1990	121.562
respect	1991	117.914
respect	1992	118.664
respect	1993	114.321
respect	1994	110.917
respect	1995	111.739
respect	1996	112.030
respect	1997	109.114
respect	1998	109.116
respect	1999	106.145
respect	2000	105.503
respect	2001	107.780
respect	2002	104.614
respect	2003	104.122
respect	2004	106.448
respect	2005	109.325
respect	2006	102.945
respect	2007	102.144
respect	2008	102.776
respect	2009	100.154
respect	2010	99.474
respect	2011	96.347
respect	2012	93.794
respect	2013	88.576
respect	2014	87.648
respect	2015	85.505
respect	2016	83.913
respect	2017	80.276
respect	2018	77.066
respect	2019	73.712
respect	2020	69.534
respect	2021	63.231
respect	2022	57.422
respect	2023	49.735
respect	2024	43.157
mistake	1975	0.886
mistake	1976	0.964
mistake	1977	0.961
mistake	1978	1.699
mistake	1979	0.911
mistake	1980	0.817
mistake	1981	0.116
mistake	1982	0.798
mistake	1983	0.477
mistake	1984	0.665
mistake	1985	0.407
mistake	1986	0.454
mistake	1987	0.458
mistake	1988	0.493
mistake	1989	0.927
mistake	1990	0.644
mistake	1991	0.784
mistake	1992	0.569
mistake	1993	0.860
mistake	1994	0.612
mistake	1995	0.542
mistake	1996	0.680
mistake	1997	0.654
mistake	1998	0.553
mistake	1999	0.609
mistake	2000	0.741
mistake	2001	0.538
mistake	2002	0.709
mistake	2003	0.718
mistake	2004	0.836
mistake	2005	0.745
mistake	2006	0.713
mistake	2007	0.561
mistake	2008	0.622
mistake	2009	0.629
mistake	2010	0.632
mistake	2011	0.583
mistake	2012	0.576
mistake	2013	0.514
mistake	2014	0.478
mistake	2015	0.740
mistake	2016	0.743
mistake	2017	0.698
mistake	2018	1.808
mistake	2019	1.787
mistake	2020	1.595
mistake	2021	0.552
mistake	2022	0.495
mistake	2023	0.456
mistake	2024	0.363
peculiarity	1975	1.692
peculiarity	1976	1.632
peculiarity	1977	1.282
peculiarity	1978	1.004
peculiarity	1979	1.823
peculiarity	1980	1.069
peculiarity	1981	1.339
peculiarity	1982	0.851
peculiarity	1983	0.998
peculiarity	1984	0.470
peculiarity	1985	1.000
peculiarity	1986	0.663
peculiarity	1987	0.688
peculiarity	1988	0.740
peculiarity	1989	0.852
peculiarity	1990	0.931
peculiarity	1991	0.691
peculiarity	1992	0.744
peculiarity	1993	0.587
peculiarity	1994	0.592
peculiarity	1995	0.580
peculiarity	1996	0.489
peculiarity	1997	0.436
peculiarity	1998	0.616
peculiarity	1999	0.685
peculiarity	2000	0.685
peculiarity	2001	0.484
peculiarity	2002	0.374
peculiarity	2003	0.511
peculiarity	2004	0.542
peculiarity	2005	0.535
peculiarity	2006	0.505
peculiarity	2007	0.683
peculiarity	2008	0.630
peculiarity	2009	0.447
peculiarity	2010	0.455
peculiarity	2011	0.533
peculiarity	2012	0.416
peculiarity	2013	0.490
peculiarity	2014	0.428
peculiarity	2015	0.457
peculiarity	2016	0.570
peculiarity	2017	0.479
peculiarity	2018	0.433
peculiarity	2019	0.404
peculiarity	2020	0.474
peculiarity	2021	0.498
peculiarity	2022	0.393
peculiarity	2023	0.378
peculiarity	2024	0.295
sky	1975	2.578
sky	1976	0.964
sky	1977	0.721
sky	1978	1.081
sky	1979	0.841
sky	1980	1.195
sky	1981	1.514
sky	1982	1.330
sky	1983	0.781
sky	1984	0.509
sky	1985	0.629
sky	1986	0.628
sky	1987	0.360
sky	1988	0.524
sky	1989	0.526
sky	1990	0.597
sky	1991	0.346
sky	1992	1.093
sky	1993	0.378
sky	1994	0.789
sky	1995	1.570
sky	1996	0.977
sky	1997	0.855
sky	1998	1.106
sky	1999	1.445
sky	2000	2.153
sky	2001	2.420
sky	2002	1.933
sky	2003	1.472
sky	2004	1.456
sky	2005	1.470
sky	2006	1.792
sky	2007	1.357
sky	2008	1.164
sky	2009	0.869
sky	2010	0.848
sky	2011	1.159
sky	2012	1.063
sky	2013	1.082
sky	2014	1.182
sky	2015	1.209
sky	2016	1.130
sky	2017	0.958
sky	2018	1.104
sky	2019	1.120
sky	2020	1.259
sky	2021	1.132
sky	2022	1.168
sky	2023	1.011
sky	2024	1.106
postpone	1975	0.322
postpone	1976	0.742
postpone	1977	0.641
postpone	1978	0.695
postpone	1979	0.561
postpone	1980	0.754
postpone	1981	0.349
postpone	1982	0.745
postpone	1983	0.477
postpone	1984	0.509
postpone	1985	0.518
postpone	1986	0.489
postpone	1987	0.688
postpone	1988	0.709
postpone	1989	0.702
postpone	1990	0.692
postpone	1991	0.714
postpone	1992	0.634
postpone	1993	0.629
postpone	1994	0.553
postpone	1995	0.785
postpone	1996	0.523
postpone	1997	0.721
postpone	1998	0.711
postpone	1999	0.685
postpone	2000	0.685
postpone	2001	0.753
postpone	2002	0.735
postpone	2003	0.924
postpone	2004	0.655
postpone	2005	0.976
postpone	2006	0.693
postpone	2007	0.711
postpone	2008	0.910
postpone	2009	0.902
postpone	2010	0.832
postpone	2011	0.811
postpone	2012	0.801
postpone	2013	0.622
postpone	2014	0.839
postpone	2015	0.822
postpone	2016	0.842
postpone	2017	0.848
postpone	2018	0.782
postpone	2019	0.711
postpone	2020	1.018
postpone	2021	0.960
postpone	2022	0.779
postpone	2023	0.766
postpone	2024	0.779
optimum	1975	77.349
optimum	1976	79.452
optimum	1977	73.467
optimum	1978	74.294
optimum	1979	70.245
optimum	1980	61.677
optimum	1981	58.696
optimum	1982	56.571
optimum	1983	51.773
optimum	1984	44.773
optimum	1985	45.278
optimum	1986	39.138
optimum	1987	42.004
optimum	1988	37.614
optimum	1989	35.836
optimum	1990	34.323
optimum	1991	34.088
optimum	1992	33.548
optimum	1993	29.309
optimum	1994	30.132
optimum	1995	27.855
optimum	1996	26.537
optimum	1997	26.688
optimum	1998	26.584
optimum	1999	28.176
optimum	2000	27.935
optimum	2001	29.308
optimum	2002	28.908
optimum	2003	28.594
optimum	2004	28.114
optimum	2005	28.252
optimum	2006	28.270
optimum	2007	31.232
optimum	2008	31.043
optimum	2009	30.482
optimum	2010	30.070
optimum	2011	30.250
optimum	2012	29.160
optimum	2013	29.308
optimum	2014	30.946
optimum	2015	28.594
optimum	2016	29.552
optimum	2017	28.828
optimum	2018	28.170
optimum	2019	28.394
optimum	2020	27.789
optimum	2021	26.043
optimum	2022	25.451
optimum	2023	21.462
optimum	2024	18.732
order	1975	296.184
order	1976	294.512
order	1977	290.984
order	1978	283.045
order	1979	293.599
order	1980	287.448
order	1981	280.668
order	1982	291.798
order	1983	293.325
order	1984	290.592
order	1985	287.035
order	1986	289.366
order	1987	297.563
order	1988	304.272
order	1989	308.890
order	1990	310.314
order	1991	300.477
order	1992	291.412
order	1993	291.856
order	1994	285.215
order	1995	283.040
order	1996	270.539
order	1997	266.960
order	1998	258.994
order	1999	264.473
order	2000	267.713
order	2001	271.514
order	2002	271.812
order	2003	269.518
order	2004	274.284
order	2005	276.866
order	2006	281.278
order	2007	284.229
order	2008	281.364
order	2009	286.786
order	2010	282.874
order	2011	280.756
order	2012	280.261
order	2013	281.851
order	2014	284.541
order	2015	283.240
order	2016	283.643
order	2017	268.134
order	2018	256.745
order	2019	252.915
order	2020	251.344
order	2021	223.525
order	2022	201.798
order	2023	169.373
order	2024	145.458
decoy	1975	0.000
decoy	1976	0.148
decoy	1977	0.000
decoy	1978	0.077
decoy	1979	0.140
decoy	1980	0.000
decoy	1981	0.000
decoy	1982	0.053
decoy	1983	0.000
decoy	1984	0.039
decoy	1985	0.000
decoy	1986	0.070
decoy	1987	0.065
decoy	1988	0.062
decoy	1989	0.075
decoy	1990	0.095
decoy	1991	0.138
decoy	1992	0.153
decoy	1993	0.273
decoy	1994	0.434
decoy	1995	0.467
decoy	1996	0.890
decoy	1997	1.324
decoy	1998	1.612
decoy	1999	1.613
decoy	2000	3.481
decoy	2001	2.958
decoy	2002	3.982
decoy	2003	4.160
decoy	2004	4.878
decoy	2005	4.389
decoy	2006	4.316
decoy	2007	3.640
decoy	2008	3.756
decoy	2009	3.800
decoy	2010	3.168
decoy	2011	3.278
decoy	2012	2.882
decoy	2013	2.695
decoy	2014	2.122
decoy	2015	2.145
decoy	2016	1.956
decoy	2017	1.941
decoy	2018	1.850
decoy	2019	1.707
decoy	2020	2.215
decoy	2021	1.579
decoy	2022	1.254
decoy	2023	1.303
decoy	2024	1.178
